genre,link,rating,runtime,sinopse,sinopse_br,title,votes,year,gen_pred,target
"Action, Adventure, Family",https://www.imdb.com//title/tt1964418/,6.4,130,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.","Preso a um destino comum, um adolescente cheio de curiosidade científica e um ex-inventor de gênios do garoto embarcam em uma missão de descobrir os segredos de um lugar em algum lugar no tempo e no espaço que existe em sua memória coletiva.",Tomorrowland: Um Lugar Onde Nada é Impossível,169199,2015,Action,1
"Action, Adventure, Crime",https://www.imdb.com//title/tt0044231/,7.7,30,The Man of Steel fights crime with help from his friends at the Daily Planet.,O Homem de Aço combate o crime com a ajuda de seus amigos no Planeta Diário.,As Aventuras do Super-Homem,3209,1952,Action,0
"Action, Comedy, Crime",https://www.imdb.com//title/tt2452242/,8.2,60,An injured hitman befriends his kidnapped daughter's imaginary friend - a perky blue flying unicorn.,Um assassino ferido faz amizade com o amigo imaginário de sua filha sequestrada - um alegre unicórnio voador azul.,Feliz!,31485,2017,Action,0
"Action, Adventure, Family",https://www.imdb.com//title/tt0102803/,6.5,108,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,Um jovem piloto tropeça em um protótipo de jetpack que lhe permite se tornar um herói mascarado que voa alto.,Rocketeer,51860,1991,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt0086567/,7.1,114,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.","Um jovem encontra uma porta dos fundos em um computador central militar no qual a realidade é confundida com o jogo, possivelmente começando a Terceira Guerra Mundial.",Jogos de Guerra,88165,1983,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt4262980/,6.7,120,Japan is plunged into chaos upon the appearance of a giant monster.,O Japão mergulha no caos com a aparência de um monstro gigante.,Shin Gojira,21219,2016,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0227538/,5.5,88,The children of secret-agent parents must save them from danger.,Os filhos de pais de agentes secretos devem salvá-los do perigo.,Pequenos Espiões,106079,2001,Action,0
"Action, Drama, Fantasy",https://www.imdb.com//title/tt4878326/,7.4,43,"Following Wyatt Earp's great great-granddaughter as she battles demons and other creatures. With her unique abilities and a posse of dysfunctional allies, she's the only thing that can bring the paranormal to justice.","Após a bisneta de Wyatt Earp, ela luta contra demônios e outras criaturas. Com suas habilidades únicas e uma legião de aliados disfuncionais, ela é a única coisa que pode levar o paranormal à justiça.",Wynonna Earp,16855,2016,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0160127/,5.5,98,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.","Três mulheres, detetives com um chefe misterioso, recuperam o software de identificação por voz roubado, usando artes marciais, habilidades técnicas e apelo sexual.",As Panteras,173181,2000,Action,1
"Action, Adventure, Crime",https://www.imdb.com//title/tt2193021/,7.5,42,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","O playboy bilionário mimado Oliver Queen está desaparecido e supostamente morto quando seu iate está perdido no mar. Ele retorna cinco anos depois, um homem mudado, determinado a limpar a cidade como um vigilante encapuzado armado com um arco.",Arqueiro,401204,2012,Action,1
"Action, Drama, Sci-Fi",https://www.imdb.com//title/tt0433035/,7.1,127,"In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot.","Num futuro próximo, o boxe por robôs é um esporte de primeira. Um ex-boxeador em dificuldades sente que encontrou um campeão em um robô descartado.",Gigantes de Aço,292625,2011,Action,1
"Action, Drama, Sci-Fi",https://www.imdb.com//title/tt6160506/,7.5,50,A young woman discovers she has the extraordinary power of teleportation.,Uma jovem descobre que tem o extraordinário poder de teletransporte.,Impulse,8542,2018,Action,0
"Action, Comedy, Crime",https://www.imdb.com//title/tt0112442/,6.9,119,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Dois detetives do quadril protegem uma testemunha de um assassinato enquanto investigam um caso de heroína roubada do depósito de evidências da delegacia de polícia.,Os Bad Boys,234438,1995,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt0120903/,7.4,104,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","Em um mundo em que os mutantes (seres humanos superpoderados evoluídos) existem e são discriminados, dois grupos se formam para um confronto inevitável: a supremacia da Irmandade e o pacifista X-Men.",X-Men: O Filme,560701,2000,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0448115/,7.1,132,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,"Um garoto recém-criado em busca de sua mãe, em vez disso, encontra super poderes inesperados e logo ganha um inimigo poderoso.",Shazam!,238368,2019,Action,1
"Action, Adventure, Drama",https://www.imdb.com//title/tt3205376/,6.9,84,"A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide.","Um jovem escocês viaja pela América em busca da mulher que ama, atraindo a atenção de um fora da lei que está disposto a servir como guia.",Oeste Sem Lei,41631,2015,Action,0
"Action, Adventure, Crime",https://www.imdb.com//title/tt1241317/,4.5,101,"A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals.",Um estudante do ensino médio chamado Light Turner descobre um caderno misterioso que tem o poder de matar qualquer pessoa cujo nome esteja escrito em suas páginas e lança uma cruzada secreta para livrar o mundo dos criminosos.,Death Note,73332,2017,Action,1
"Action, Adventure, Drama",https://www.imdb.com//title/tt0117731/,7.6,111,The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,Os Borg viajam no tempo com a intenção de impedir o primeiro contato da Terra com uma espécie exótica. O capitão Picard e sua tripulação os perseguem para garantir que Zefram Cochrane faça seu voo inaugural atingindo a velocidade de dobra.,Jornada nas Estrelas: Primeiro Contato,115788,1996,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt0382992/,5.1,121,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.","Profundamente aprisionado em um programa militar ultra-secreto, três pilotos lutam para controlar um programa de inteligência artificial antes de iniciar a próxima guerra mundial.",Ameaça Invisível,51223,2005,Action,1
"Action, Comedy, Crime",https://www.imdb.com//title/tt7339248/,6.7,104,"After being attacked on the street, a young man enlists at a local dojo, led by a charismatic and mysterious sensei, in an effort to learn how to defend himself from future threats.","Depois de ser atacado na rua, um jovem se alista em um dojo local, liderado por um sensei carismático e misterioso, em um esforço para aprender a se defender de ameaças futuras.",A Arte da Autodefesa,24689,2019,Action,0
"Action, Comedy, Sci-Fi",https://www.imdb.com//title/tt0120891/,4.9,106,"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War.","Os dois melhores agentes especiais no Oeste Selvagem devem salvar o Presidente Grant das garras de um cientista confederado diabólico, em cadeira de rodas e experiente em steampunk, empenhado em vingança por perder a Guerra Civil.",As Loucas Aventuras de James West,150692,1999,Action,0
"Action, Comedy, Crime",https://www.imdb.com//title/tt1190634/,8.7,60,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Um grupo de vigilantes partiu para derrubar super-heróis corruptos que abusam de seus superpoderes.,The Boys,157060,2019,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt1190080/,5.8,158,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,Um escritor frustrado luta para manter sua família viva quando uma série de catástrofes globais ameaça aniquilar a humanidade.,2012,346412,2009,Action,1
"Action, Drama, Horror",https://www.imdb.com//title/tt3458254/,4.5,93,"After an unprecedented global pandemic turns the majority of humankind into violent ""Infected,"" a man gifted with the ability to speak the Infected's new language leads the last survivors on a hunt for Patient Zero and a cure.","Depois que uma pandemia global sem precedentes transforma a maioria da humanidade em violentos ""infectados"", um homem dotado com a capacidade de falar o novo idioma do infectado lidera os últimos sobreviventes em uma busca pelo paciente zero e uma cura.",Paciente Zero: A Origem do Virus,7356,2018,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt0084726/,7.7,113,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.","Com a assistência da equipe da Enterprise, o Almirante Kirk deve impedir que um velho inimigo, Khan Noonien Singh, use o Genesis Device, que gera vida, como a melhor arma.",Jornada nas Estrelas II: A Ira de Khan,110432,1982,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt1545660/,5.6,86,Live-action role players conjure up a demon from Hell by mistake and they must deal with the consequences.,Os atores de ação ao vivo evocam um demônio do Inferno por engano e devem lidar com as consequências.,Um Jogo Legendário,18932,2013,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt1399103/,6.2,154,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",Os Autobots aprendem sobre uma espaçonave Cybertroniana escondida na Lua e correm contra os Decepticons para alcançá-la e aprender seus segredos.,Transformers: O Lado Oculto da Lua,379299,2011,Action,1
"Action, Drama, Sci-Fi",https://www.imdb.com//title/tt3315342/,8.1,137,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Em um futuro em que os mutantes estão quase extintos, Logan, idoso e cansado, leva uma vida tranquila. Mas quando Laura, uma criança mutante perseguida por cientistas, pede ajuda a ele, ele deve levá-la em segurança.",Logan,624523,2017,Action,1
"Action, Drama, Sci-Fi",https://www.imdb.com//title/tt1634106/,5.7,109,"Ray Garrison, a slain soldier, is re-animated with superpowers.","Ray Garrison, um soldado morto, é re-animado com superpotências.",Bloodshot,46413,2020,Action,1
"Action, Drama, Fantasy",https://www.imdb.com//title/tt0965394/,7.3,44,"Stem cells, gene therapy, transplants, and cloning have changed the definition of ""humanity"" in the modern world, but the darker side contains monsters that only few are brave enough to face, because the future lies in their hands.","Células-tronco, terapia genética, transplantes e clonagem mudaram a definição de ""humanidade"" no mundo moderno, mas o lado sombrio contém monstros que apenas poucos são corajosos o suficiente para enfrentar, porque o futuro está em suas mãos.",Sanctuary,18682,2008,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt0177971/,6.4,130,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,Um padrão de tempestade invulgarmente intenso pega alguns pescadores comerciais inconscientes e os coloca em perigo mortal.,Mar em Fúria,153554,2000,Action,0
"Action, Adventure",https://www.imdb.com//title/tt0087469/,7.6,118,"In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.","Em 1935, Indiana Jones chega à Índia, ainda parte do Império Britânico, e é solicitado a encontrar uma pedra mística. Ele então se depara com um culto secreto que comete escravidão e sacrifícios humanos nas catacumbas de um antigo palácio.",Indiana Jones e o Templo da Perdição,436489,1984,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt0844760/,4.3,105,Johnny Rico is called back into action to defeat the bugs.,Johnny Rico é chamado de volta à ação para derrotar os bugs.,Tropas Estelares 3,22306,2008,Action,0
"Action, Mystery, Thriller",https://www.imdb.com//title/tt8523042/,8.3,60,An ordinary man who comes across surprising circumstances that place him in the center of a huge corruption scandal.,Um homem comum que se depara com circunstâncias surpreendentes que o colocam no centro de um enorme escândalo de corrupção.,Retaliação,2746,2019,Action,0
"Action, Horror, Sci-Fi",https://www.imdb.com//title/tt1855325/,5.4,95,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,Alice luta ao lado de um movimento de resistência para recuperar sua liberdade de um centro de testes da Umbrella Corporation.,Resident Evil 5: Retribuição,130586,2012,Action,1
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0383060/,4.4,93,Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.,O ex-super-herói Jack é chamado de volta ao trabalho para transformar um grupo improvável de crianças esfarrapadas em super-heróis em uma academia particular.,Zoom - Academia de Super-Heróis,18563,2006,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt1300854/,7.2,130,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","Quando o mundo de Tony Stark é dilacerado por um terrorista formidável chamado Mandarin, ele inicia uma odisséia de reconstrução e retribuição.",Homem de Ferro 3,737874,2013,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt4320258/,7.8,120,"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.","A história heróica de Ertugrul Ghazi, pai de Osman (Uthman), que fundou o Império Otomano.",O Grande Guerreiro Otomano,24065,2014,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt2283362/,6.9,119,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","Quatro adolescentes são sugados para um videogame mágico, e a única maneira de escapar é trabalhar juntos para terminar o jogo.",Jumanji: Bem-Vindo à Selva,306539,2017,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt3722614/,5.2,87,"An amnesiac US soldier's in a cell next to a cute, French doctor. Earth is under attack by big, alien robots. Kenyan soldiers come to rape, torture and kill but the 2 fight back. They find a car and head west.","Um soldado americano amnésico está em uma cela ao lado de um médico francês fofo. A Terra está sendo atacada por grandes robôs alienígenas. Soldados quenianos vêm para estuprar, torturar e matar, mas os dois revidam. Eles encontram um carro e vão para o oeste.",Revolt,7977,2017,Action,0
"Action, Mystery, Thriller",https://www.imdb.com//title/tt1401152/,6.8,113,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.","Um homem acorda de um coma, apenas para descobrir que alguém assumiu sua identidade e que ninguém (nem mesmo sua esposa) acredita nele. Com a ajuda de uma jovem, ele se propõe a provar quem ele é.",Desconhecido,244383,2011,Action,0
"Action, Adventure, Romance",https://www.imdb.com//title/tt0183790/,6.9,132,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.","Depois que seu mestre morre, um escudeiro camponês, alimentado por seu desejo de comida e glória, cria uma nova identidade para si mesmo como cavaleiro.",Coração de Cavaleiro,166511,2001,Action,0
"Action, Comedy, Crime",https://www.imdb.com//title/tt2404463/,6.6,117,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.,Um agente especial do FBI está emparelhado com um policial de Boston de boca suja para derrubar um traficante cruel.,As Bem-Armadas,159756,2013,Action,1
"Action, Drama, Fantasy",https://www.imdb.com//title/tt4396630/,7.4,43,"In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity.","Em um mundo onde humanos mutantes são tratados com desconfiança e medo, um instituto de batalhas de mutantes para alcançar uma coexistência pacífica com a humanidade.",The Gifted,30103,2017,Action,1
"Action, Crime, Drama",https://www.imdb.com//title/tt0160904/,8.2,60,"The missions of MI-5, the UK's domestic intelligence organization.","As missões do MI-5, a organização de inteligência doméstica do Reino Unido.",Spooks,14107,2002,Action,0
"Action, Comedy, Family",https://www.imdb.com//title/tt2712516/,5.7,23,"These siblings with superpowers might be twins, but they are very different indeed.","Esses irmãos com superpotências podem ser gêmeos, mas são realmente muito diferentes.",Os Thundermans,3339,2013,Action,0
"Action, Crime, Drama",https://www.imdb.com//title/tt4474344/,7.4,42,Jane Doe is found in Times Square with no memory and mysterious tattoos on her body.,Jane Doe é encontrada na Times Square sem memória e tatuagens misteriosas no corpo.,Ponto Cego,64791,2015,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt11093718/,7.8,120,"The series will focus on the life of Osman Bey, the son of Ertugrul Gazi and the founder of the Ottoman Empire.","A série focará na vida de Osman Bey, filho de Ertugrul Gazi e fundador do Império Otomano.",Kurulus: Osman,1809,2019,Action,0
"Action, Adventure, Thriller",https://www.imdb.com//title/tt5758778/,5.8,102,"A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.","Um especialista em segurança deve se infiltrar em um arranha-céu em chamas, 225 andares acima do solo, quando sua família é presa por criminosos.",Arranha-Céu: Coragem Sem Limite,101257,2018,Action,1
"Action, Fantasy, Horror",https://www.imdb.com//title/tt2393827/,5.4,92,"When passengers on a train are attacked by a creature, they must band together in order to survive until morning.","Quando os passageiros de um trem são atacados por uma criatura, eles devem se unir para sobreviver até a manhã seguinte.",O Uivo,11171,2015,Action,1
"Action, Crime, Drama",https://www.imdb.com//title/tt0088513/,7.8,48,A retired Intelligence Agent turned private detective helps various threatened clients to equalize the odds.,Um agente de inteligência aposentado que virou detetive particular ajuda vários clientes ameaçados a igualar as probabilidades.,The Equalizer,4166,1985,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt4500922/,6.2,143,"Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".","O jovem herói Thomas embarca em uma missão para encontrar uma cura para uma doença mortal conhecida como ""The Flare"".",Maze Runner: A Cura Mortal,106466,2018,Action,1
"Action, Crime, Drama",https://www.imdb.com//title/tt0411951/,4.8,87,Jin Kazama witnesses the death of his mother Jun by Tekken in the slums known as Anvil. After finding a Tekken ID he decides to seek out vengeance for his mother's death.,"Jin Kazama testemunha a morte de sua mãe Jun por Tekken nas favelas conhecidas como Anvil. Depois de encontrar um ID de Tekken, ele decide se vingar pela morte de sua mãe.",Tekken,25852,2010,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt1735898/,6.1,127,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.","Em uma reviravolta no conto de fadas, o Caçador ordenou que Branca de Neve caísse na floresta para ser morto, tornando-se seu protetor e mentor em uma missão para derrotar a Rainha Má.",Branca de Neve e o Caçador,268893,2012,Action,1
"Action, Horror, Sci-Fi",https://www.imdb.com//title/tt0120611/,7.1,120,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.","Um homem meio-vampiro, meio-mortal se torna um protetor da raça mortal, enquanto mata vampiros do mal.",Blade: O Caçador de Vampiros,239331,1998,Action,1
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt1365519/,6.3,119,"Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.","Lara Croft (Alicia Vikander), filha ferozmente independente de um aventureiro desaparecido, deve ir além de seus limites quando descobrir a ilha onde seu pai, Lord Richard Croft (Dominic West) desapareceu.",Tomb Raider: A Origem,184866,2018,Action,1
"Action, Adventure, Thriller",https://www.imdb.com//title/tt0429493/,6.7,117,"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","Um grupo de veteranos da Guerra do Iraque procura limpar seu nome com as Forças Armadas dos EUA, que suspeitam que os quatro homens cometeram um crime pelo qual foram acusados.",Esquadrão Classe A,242763,2010,Action,1
"Action, Adventure, Drama",https://www.imdb.com//title/tt4016454/,6.3,43,The adventures of Superman's cousin in her own superhero career.,As aventuras do primo de Superman em sua própria carreira de super-herói.,Supergirl,107799,2015,Action,0
"Action, Comedy",https://www.imdb.com//title/tt7335600/,5.6,96,"A cop is assigned to a case of escorting a criminal to Japan while dealing with relationship problems, and his enormous change in appearance as a result of being dumped.","Um policial é designado para o caso de escoltar um criminoso para o Japão enquanto lida com problemas de relacionamento, e sua enorme mudança de aparência como resultado de ser descartada.",Fei lung gwoh gong,1000,2020,Action,0
"Action, Sci-Fi",https://www.imdb.com//title/tt7605074/,6.0,125,"As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save humanity, a group of young people in this age of a wandering Earth fight hard for the survival of humankind.","Enquanto o sol está morrendo, pessoas de todo o mundo constroem propulsores gigantes de planetas para mover a Terra de sua órbita e navegar a Terra para um novo sistema estelar. No entanto, a jornada de 2500 anos vem com perigos inesperados e, para salvar a humanidade, um grupo de jovens nesta era de uma Terra errante luta muito pela sobrevivência da humanidade.",Terra à Deriva,25098,2019,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt2527338/,6.6,141,"The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.","Os membros sobreviventes da resistência enfrentam a Primeira Ordem mais uma vez, e o lendário conflito entre os Jedi e os Sith atinge seu auge, levando a saga Skywalker ao fim.",Star Wars: A Ascensão Skywalker,343001,2019,Action,0
"Action, Comedy, Fantasy",https://www.imdb.com//title/tt0103873/,7.5,104,"A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.","A mãe de um jovem é mordida por um macaco-rato da Sumatra. Ela fica doente e morre, quando volta à vida, matando e comendo cães, enfermeiras, amigos e vizinhos.",Fome Animal,89871,1992,Action,0
"Action, Adventure, Horror",https://www.imdb.com//title/tt0366174/,4.7,97,"A scientific expedition sets out for Borneo to seek a flower called the Blood Orchid, which could grant longer life. Meanwhile, they run afoul of snakes and each other.","Uma expedição científica parte para Bornéu em busca de uma flor chamada Orquídea Sangrenta, que pode conceder vida mais longa. Enquanto isso, eles se deparam com cobras e entre si.",Anaconda 2: A Caçada pela Orquídea Sangrenta,28348,2004,Action,1
"Action, Horror, Sci-Fi",https://www.imdb.com//title/tt1082868/,5.9,89,"A television reporter and her cameraman are trapped inside a building quarantined by the CDC, after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.","Uma repórter de televisão e seu cinegrafista estão presos dentro de um prédio em quarentena pelo CDC, após o surto de um vírus misterioso que transforma humanos em assassinos sedentos de sangue.",Quarentena,69136,2008,Action,1
"Action, Horror, Thriller",https://www.imdb.com//title/tt5700672/,7.6,118,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.","Enquanto um vírus zumbi irrompe na Coréia do Sul, os passageiros lutam para sobreviver no trem de Seul para Busan.",Invasão Zumbi,147477,2016,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt3475734/,7.9,42,"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis.","Em 1946, Peggy Carter é relegada a funções de secretária na Reserva Científica Estratégica (SSR). Quando Howard Stark é acusado de traição, ele secretamente recruta Peggy para limpar seu nome com a ajuda de seu mordomo, Edwin Jarvis.",Agente Carter da Marvel,71066,2015,Action,0
"Action, Sci-Fi",https://www.imdb.com//title/tt0181852/,6.3,109,A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.,Uma máquina de um futuro pós-apocalíptico viaja no tempo para proteger um homem e uma mulher de um assassino robótico avançado para garantir que ambos sobrevivam a um ataque nuclear.,O Exterminador do Futuro 3: A Rebelião das Máquinas,370874,2003,Action,1
"Action, Adventure, Drama",https://www.imdb.com//title/tt0374463/,8.3,530,"The Pacific Theatre of World War II, as seen through the eyes of several young Marines.","O Teatro do Pacífico da Segunda Guerra Mundial, visto pelos olhos de vários jovens fuzileiros navais.",O Pacífico,96123,2010,Action,0
"Action, Comedy, Crime",https://www.imdb.com//title/tt1618434/,6.0,97,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.","Um policial de Nova York e sua esposa saem de férias na Europa para revigorar a centelha de seu casamento, mas acabam sendo enquadrados e fugindo pela morte de um bilionário idoso.",Mistério no Mediterrâneo,93457,2019,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0058805/,8.2,25,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, battles the evil forces of rival spy agency KAOS with the help of his competent partner Agent 99.","Maxwell Smart, um espião altamente intelectual, mas atrapalhado, que trabalha para a agência CONTROL, combate as forças do mal da agência de espionagem rival KAOS com a ajuda de seu parceiro competente Agent 99.",Agente 86,10600,1965,Action,0
"Action, Adventure, Thriller",https://www.imdb.com//title/tt0070328/,6.8,121,James Bond is sent to stop a diabolically brilliant heroin magnate armed with a complex organisation and a reliable psychic tarot card reader.,"James Bond é enviado para parar um magnata da heroína diabolicamente brilhante, armado com uma organização complexa e um confiável leitor de cartas de tarô psíquico.",Com 007 Viva e Deixe Morrer,94257,1973,Action,1
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt1646987/,5.7,99,"Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world.","Perseu enfrenta o submundo traiçoeiro para resgatar seu pai, Zeus, capturado por seu filho, Ares, e pelo irmão Hades, que libertam os antigos Titãs no mundo.",Fúria de Titãs 2,179009,2012,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt6320628/,7.5,129,"Following the events of Vingadores: Ultimato (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","Após os eventos de Vingadores: Ultimato (2019), o Homem-Aranha deve avançar para enfrentar novas ameaças em um mundo que mudou para sempre.",Homem-Aranha: Longe de Casa,301367,2019,Action,1
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0083470/,7.2,60,The cases of a female private detective partnered with a former thief who assumes the role of a fictitious detective in the business.,Os casos de uma detetive particular em parceria com um ex-ladrão que assume o papel de detetive fictícia nos negócios.,Remington Steele,7160,1982,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt7975244/,6.7,123,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","Em Jumanji: The Next Level, a turma está de volta, mas o jogo mudou. Quando eles retornam para resgatar um deles, os jogadores terão que enfrentar partes desconhecidas, desde desertos áridos até montanhas nevadas, para escapar do jogo mais perigoso do mundo.",Jumanji: Próxima Fase,162534,2019,Action,1
"Action, Drama, Sci-Fi",https://www.imdb.com//title/tt5114356/,8.3,60,"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever.","David Haller é um jovem problemático diagnosticado como esquizofrênico, mas depois de um encontro estranho, ele descobre poderes especiais que mudarão sua vida para sempre.",Legião,80132,2017,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0057193/,7.5,210,"A group of motorists hear about a crook's hidden stash of loot, and race against each other across the country to get to it.",Um grupo de motoristas ouve sobre o esconderijo escondido de um bandido e corre contra o outro pelo país para chegar a ele.,Deu a Louca no Mundo,37026,1963,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt2109248/,5.6,165,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.","Quando a humanidade se alia a um caçador de recompensas em busca do Optimus Prime, os Autobots recorrem a um mecânico e sua família em busca de ajuda.",Transformers: A Era da Extinção,294184,2014,Action,1
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0107362/,6.4,130,"With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.","Com a ajuda de um ingresso mágico, um jovem fã de cinema é transportado para o mundo fictício de seu personagem de filme de ação favorito.",O Último Grande Herói,133601,1993,Action,0
